Rank,Country,Rating
1,Argentina,1907.40
2,France,1906.84
3,Spain,1879.58
4,England,1840.46
5,Brazil,1785.19
6,Morocco,1776.40
7,Netherlands,1775.50
8,Portugal,1764.86
9,Mexico,1736.01
10,Belgium,1735.41
11,Colombia,1729.30
12,Germany,1726.22
13,Croatia,1723.05
15,USA,1677.17
16,Switzerland,1676.00
17,Japan,1673.68
18,Senegal,1653.43
19,Uruguay,1634.70
21,IR Iran,1609.85
22,Austria,1598.82
23,Norway,1594.04
24,Ecuador,1592.59
26,Egypt,1584.71
27,Türkiye,1582.54
28,Australia,1581.35
29,Algeria,1576.80
30,Canada,1571.34
31,Côte d'Ivoire,1565.47
32,Korea Republic,1558.72
36,Sweden,1525.58
37,Paraguay,1520.59
41,Congo DR,1495.48
42,Scotland,1491.22
44,Panama,1478.41
48,Czechia,1467.26
54,South Africa,1451.24
57,Tunisia,1426.58
58,Saudi Arabia,1425.52
59,Qatar,1411.06
60,Uzbekistan,1409.73
61,Bosnia and Herzegovina,1408.93
63,Iraq,1404.17
64,Cabo Verde,1402.97
65,Ghana,1387.00
73,Jordan,1350.41
82,Curaçao,1285.64
86,New Zealand,1269.80
88,Haiti,1264.58
